,precision,recall,f1-score,support
COVID,1.0,0.46153846153846156,0.631578947368421,26.0
Viral_Pneumonia,0.6451612903225806,1.0,0.7843137254901961,20.0
Normal,0.782608695652174,0.9,0.8372093023255814,20.0
accuracy,0.7575757575757576,0.7575757575757576,0.7575757575757576,0.7575757575757576
macro avg,0.8092566619915847,0.7871794871794872,0.7510339917280663,66.0
weighted avg,0.8265969654468953,0.7575757575757576,0.7401744422408257,66.0
